Year,Month,iod
1951,1,-1.188
1951,2,-1.052
1951,3,-0.952
1951,4,-0.568
1951,5,-0.734
1951,6,-0.466
1951,7,-0.471
1951,8,-0.675
1951,9,-0.36
1951,10,-0.334
1951,11,-0.549
1951,12,-0.324
1952,1,-0.479
1952,2,-0.464
1952,3,-0.586
1952,4,-0.516
1952,5,-0.437
1952,6,-0.551
1952,7,-0.333
1952,8,-0.355
1952,9,-0.19
1952,10,-0.372
1952,11,-0.576
1952,12,-0.584
1953,1,-0.786
1953,2,-0.795
1953,3,-0.542
1953,4,-0.435
1953,5,-0.68
1953,6,-0.386
1953,7,-0.537
1953,8,-0.597
1953,9,-0.57
1953,10,-0.416
1953,11,-0.351
1953,12,-0.164
1954,1,-0.239
1954,2,-0.213
1954,3,-0.379
1954,4,-0.519
1954,5,-0.158
1954,6,-0.338
1954,7,-0.375
1954,8,-0.479
1954,9,-0.427
1954,10,-0.486
1954,11,-0.569
1954,12,-0.93
1955,1,-0.562
1955,2,-0.725
1955,3,-0.775
1955,4,-0.765
1955,5,-0.329
1955,6,-0.729
1955,7,-0.539
1955,8,-0.358
1955,9,-0.089
1955,10,-0.295
1955,11,-0.629
1955,12,-0.498
1956,1,-0.629
1956,2,-0.758
1956,3,-0.689
1956,4,-0.412
1956,5,-0.468
1956,6,-0.265
1956,7,-0.065
1956,8,-0.202
1956,9,-0.188
1956,10,-0.204
1956,11,-0.385
1956,12,-0.574
1957,1,-0.264
1957,2,-0.13
1957,3,-0.377
1957,4,-0.278
1957,5,-0.029
1957,6,-0.222
1957,7,-0.194
1957,8,-0.291
1957,9,-0.381
1957,10,-0.256
1957,11,-0.049
1957,12,-0.332
1958,1,0.085
1958,2,-0.025
1958,3,-0.094
1958,4,-0.148
1958,5,-0.126
1958,6,0.038
1958,7,0.438
1958,8,0.608
1958,9,0.536
1958,10,0.252
1958,11,0.014
1958,12,0.158
1959,1,-0.192
1959,2,0.272
1959,3,0.078
1959,4,-0.169
1959,5,0.097
1959,6,-0.079
1959,7,-0.213
1959,8,-0.044
1959,9,-0.064
1959,10,-0.119
1959,11,-0.054
1959,12,-0.141
1960,1,-0.331
1960,2,-0.464
1960,3,-0.063
1960,4,0.194
1960,5,0.169
1960,6,-0.044
1960,7,-0.038
1960,8,-0.264
1960,9,-0.075
1960,10,0.018
1960,11,-0.104
1960,12,-0.034
1961,1,-0.541
1961,2,-0.521
1961,3,-0.433
1961,4,0.068
1961,5,-0.328
1961,6,-0.626
1961,7,-1.018
1961,8,-1.171
1961,9,-0.973
1961,10,-0.848
1961,11,-0.829
1961,12,-0.686
1962,1,-0.969
1962,2,-1.054
1962,3,-0.706
1962,4,-0.469
1962,5,-0.341
1962,6,-0.379
1962,7,-0.296
1962,8,-0.254
1962,9,-0.393
1962,10,-0.305
1962,11,-0.355
1962,12,-0.378
1963,1,-0.837
1963,2,-0.907
1963,3,-0.803
1963,4,-0.574
1963,5,-0.473
1963,6,-0.502
1963,7,-0.731
1963,8,-0.995
1963,9,-0.705
1963,10,-0.788
1963,11,-0.586
1963,12,-0.311
1964,1,0.219
1964,2,0.37
1964,3,-0.016
1964,4,-0.161
1964,5,-0.321
1964,6,-0.37
1964,7,-0.231
1964,8,-0.449
1964,9,-0.132
1964,10,-0.043
1964,11,-0.757
1964,12,-0.762
1965,1,-0.614
1965,2,-0.332
1965,3,-0.725
1965,4,-0.537
1965,5,-0.499
1965,6,-0.532
1965,7,-0.474
1965,8,-0.527
1965,9,-0.414
1965,10,-0.633
1965,11,-0.414
1965,12,-0.31
1966,1,-0.316
1966,2,-0.013
1966,3,-0.11
1966,4,-0.212
1966,5,-0.386
1966,6,-0.496
1966,7,-0.545
1966,8,-0.737
1966,9,-0.535
1966,10,-0.325
1966,11,-0.279
1966,12,-0.499
1967,1,-0.776
1967,2,-0.876
1967,3,-0.848
1967,4,-0.407
1967,5,-0.393
1967,6,-0.634
